Category,Problem,Algorithm,Runs,IGD_Mean,IGD_Std,HV_Mean,HV_Std,Feasible_Mean,Time_Mean_s
DC-DTLZs,DC1DTLZ1,DSOCOL,2,48.63092167961248,33.461001088289066,0.0,0.0,8.0,0.1675333335006144
C-DTLZs,C1DTLZ1,DSOCOL,1,0.01859430317905045,0.0,0.2465258838578567,0.0,100.0,165.349029332996
LIR-CMOP,LIRCMOP13,DSOCOL,1,1.3243482341989732,0.0,0.014658816180098962,0.0,100.0,178.09251033399778
