Algorithm, Category, Problem  , Runs, IGD_Mean              , IGD_Std, HV_Mean             , HV_Std, Feas_Mean, Time_Mean
DSOCOL   , C-DTLZs , C1DTLZ1  ,    1,  0.027177675530650997 ,     0.0, 0.23777833294756193 ,    0.0,      89.0, 121.08306945802178
DSOCOL   , C-DTLZs , C1DTLZ3  ,    1,  9.244324126531216    ,     0.0, 0.0                 ,    0.0,     100.0, 118.49707883299561
DSOCOL   , C-DTLZs , C2DTLZ2  ,    1,  0.04821606638957086  ,     0.0, 1.0324681438602847  ,    0.0,      63.0, 227.50134799996158
DSOCOL   , C-DTLZs , C3DTLZ4  ,    1,  0.18427247284733925  ,     0.0, 9.405209699665953   ,    0.0,      92.0, 122.68556399998488
DSOCOL   , DC-DTLZs, DC1DTLZ1 ,    1,  1.998814411282276    ,     0.0, 0.0                 ,    0.0,      93.0, 104.66958908300148
DSOCOL   , DC-DTLZs, DC1DTLZ3 ,    1, 26.438594149224514    ,     0.0, 0.0                 ,    0.0,      73.0, 103.01812045800034
DSOCOL   , DC-DTLZs, DC2DTLZ1 ,    1,                       ,        , 0.0                 ,    0.0,       0.0,  71.49954179202905
DSOCOL   , DC-DTLZs, DC2DTLZ3 ,    1,                       ,        , 0.0                 ,    0.0,       0.0,  66.13245795801049
DSOCOL   , DC-DTLZs, DC3DTLZ1 ,    1, 11.779786635136622    ,     0.0, 0.0                 ,    0.0,      51.0,  83.34923654200975
DSOCOL   , DC-DTLZs, DC3DTLZ3 ,    1, 79.98917372647227     ,     0.0, 0.0                 ,    0.0,      47.0,  80.77572487504221
DSOCOL   , DAS-CMOP, DASCMOP1 ,    1,  0.004138095767703232 ,     0.0, 0.7597091137384283  ,    0.0,      83.0, 133.29485170799308
DSOCOL   , DAS-CMOP, DASCMOP2 ,    1,  0.00467690386146627  ,     0.0, 1.0933533584117872  ,    0.0,      83.0, 137.9381924579502
DSOCOL   , DAS-CMOP, DASCMOP3 ,    1,  0.0015259665945876561,     0.0, 1.0031303260555136  ,    0.0,      85.0, 119.00017129199114
DSOCOL   , DAS-CMOP, DASCMOP4 ,    1,  3.1457277850935212   ,     0.0, 0.0                 ,    0.0,      57.0, 120.51115408400074
DSOCOL   , DAS-CMOP, DASCMOP5 ,    1,  1.317820559913003    ,     0.0, 0.0                 ,    0.0,      25.0, 121.82245970796794
DSOCOL   , DAS-CMOP, DASCMOP6 ,    1,  1.135454157093833    ,     0.0, 0.0                 ,    0.0,      16.0, 116.10188554099295
DSOCOL   , DAS-CMOP, DASCMOP7 ,    1,  3.153333114559463    ,     0.0, 0.0                 ,    0.0,      99.0, 115.33615529199596
DSOCOL   , DAS-CMOP, DASCMOP8 ,    1,  1.5402762921282693   ,     0.0, 0.0                 ,    0.0,      93.0, 117.11089054099284
DSOCOL   , DAS-CMOP, DASCMOP9 ,    1,  0.07069238035281865  ,     0.0, 1.0793586840171083  ,    0.0,      72.0, 143.27396216697525
DSOCOL   , LIR-CMOP, LIRCMOP1 ,    1,  0.312712934578462    ,     0.0, 0.423152366877715   ,    0.0,       5.0,  61.70077404100448
DSOCOL   , LIR-CMOP, LIRCMOP10,    1,  0.6442552342300168   ,     0.0, 1.1503886455791967  ,    0.0,     100.0, 109.10148358298466
DSOCOL   , LIR-CMOP, LIRCMOP11,    1,  0.7517288064037783   ,     0.0, 1.5023816178104845  ,    0.0,     100.0,  91.59354712499771
DSOCOL   , LIR-CMOP, LIRCMOP12,    1,  0.2526544823097842   ,     0.0, 4.122904682983205   ,    0.0,     100.0,  89.6687544999877
DSOCOL   , LIR-CMOP, LIRCMOP13,    1,  0.22707710145286783  ,     0.0, 3.6916113930751715  ,    0.0,     100.0, 111.04992570797913
DSOCOL   , LIR-CMOP, LIRCMOP14,    1,  0.20025022548257554  ,     0.0, 4.2679344405462825  ,    0.0,     100.0, 110.75621433299966
DSOCOL   , LIR-CMOP, LIRCMOP2 ,    1,  0.07544806904891974  ,     0.0, 1.1243160212893488  ,    0.0,      36.0,  63.406053540995345
DSOCOL   , LIR-CMOP, LIRCMOP3 ,    1,  0.08799880719440932  ,     0.0, 0.6269533939340282  ,    0.0,      39.0,  59.229509333963506
DSOCOL   , LIR-CMOP, LIRCMOP4 ,    1,                       ,        , 0.0                 ,    0.0,       0.0,  58.803213500010315
DSOCOL   , LIR-CMOP, LIRCMOP5 ,    1,  1.2040690927827453   ,     0.0, 0.0                 ,    0.0,     100.0, 101.99604466604069
DSOCOL   , LIR-CMOP, LIRCMOP6 ,    1,  1.3490261788258155   ,     0.0, 0.0                 ,    0.0,     100.0,  99.20384304103209
DSOCOL   , LIR-CMOP, LIRCMOP7 ,    1,  1.684973260341193    ,     0.0, 0.0                 ,    0.0,     100.0,  98.48406124999747
DSOCOL   , LIR-CMOP, LIRCMOP8 ,    1,  1.6822895766229364   ,     0.0, 0.0                 ,    0.0,     100.0,  88.69736958300928
DSOCOL   , LIR-CMOP, LIRCMOP9 ,    1,  0.5839109222344727   ,     0.0, 1.9654184809464228  ,    0.0,     100.0,  96.47556725004688
C3M      , C-DTLZs , C1DTLZ1  ,    1,  0.021601374780405573 ,     0.0, 0.24484205478454357 ,    0.0,     100.0,  46.336307874997146
C3M      , C-DTLZs , C1DTLZ3  ,    1,  8.112574144189082    ,     0.0, 0.0                 ,    0.0,      99.0, 132.4870811669971
C3M      , C-DTLZs , C2DTLZ2  ,    1,  0.04970529554200768  ,     0.0, 1.0510191533764917  ,    0.0,     100.0,  76.19233737501781
C3M      , C-DTLZs , C3DTLZ4  ,    1,  0.1068982678986863   ,     0.0, 9.812720666035183   ,    0.0,     100.0, 164.6535029580118
C3M      , DC-DTLZs, DC1DTLZ1 ,    1,  6.5435719524901845   ,     0.0, 0.0                 ,    0.0,     100.0, 109.53734824998537
C3M      , DC-DTLZs, DC1DTLZ3 ,    1,  0.2302684087580859   ,     0.0, 0.931863482566182   ,    0.0,     100.0, 117.26688150002155
C3M      , DC-DTLZs, DC2DTLZ1 ,    1,  0.027467601250470753 ,     0.0, 0.2437647301524232  ,    0.0,     100.0,  64.36258158402052
C3M      , DC-DTLZs, DC2DTLZ3 ,    1,  0.1613476936235524   ,     0.0, 0.8434846355963292  ,    0.0,     100.0,  46.8983187500271
C3M      , DC-DTLZs, DC3DTLZ1 ,    1,  0.2175961443044414   ,     0.0, 0.11921308514835112 ,    0.0,     100.0, 109.75053729204228
C3M      , DC-DTLZs, DC3DTLZ3 ,    1,  0.11782958244274075  ,     0.0, 1.0020047541728225  ,    0.0,     100.0, 112.12736600002972
C3M      , DAS-CMOP, DASCMOP1 ,    1,  0.005231690836643631 ,     0.0, 0.7602983391252399  ,    0.0,     100.0, 526.7071453339886
C3M      , DAS-CMOP, DASCMOP2 ,    1,  0.004626098584891644 ,     0.0, 1.0946922039573457  ,    0.0,     100.0, 502.4121692919871
C3M      , DAS-CMOP, DASCMOP3 ,    1,  0.0021711405291427073,     0.0, 1.0011019683733546  ,    0.0,     100.0, 482.7460059580044
C3M      , DAS-CMOP, DASCMOP4 ,    1,  3.477391438636164    ,     0.0, 0.0                 ,    0.0,      21.0, 550.9315107080038
C3M      , DAS-CMOP, DASCMOP5 ,    1,  0.0073012676359787655,     0.0, 1.0877854935004097  ,    0.0,     100.0, 586.519243207993
C3M      , DAS-CMOP, DASCMOP6 ,    1,  0.10569099051145943  ,     0.0, 0.8133895414099602  ,    0.0,      55.0, 555.4923652500147
C3M      , DAS-CMOP, DASCMOP7 ,    1,  0.06829633063067941  ,     0.0, 1.3643053413356918  ,    0.0,     100.0, 376.7927172079799
C3M      , DAS-CMOP, DASCMOP8 ,    1,  0.06564000850904048  ,     0.0, 1.048652629310917   ,    0.0,     100.0, 363.6658339169808
C3M      , DAS-CMOP, DASCMOP9 ,    1,  0.05976803693657353  ,     0.0, 1.0823919570534764  ,    0.0,     100.0, 335.4706847089692
C3M      , LIR-CMOP, LIRCMOP1 ,    1,  0.23246183680160792  ,     0.0, 0.488178963316175   ,    0.0,     100.0,  49.00539662496885
C3M      , LIR-CMOP, LIRCMOP10,    1,  0.014111299188094456 ,     0.0, 2.914709775714701   ,    0.0,     100.0, 153.92288666701643
C3M      , LIR-CMOP, LIRCMOP11,    1,  0.004856105737310448 ,     0.0, 3.892330975559369   ,    0.0,     100.0, 126.39032641699305
C3M      , LIR-CMOP, LIRCMOP12,    1,  0.16741648412057897  ,     0.0, 4.267931977491178   ,    0.0,     100.0, 129.96636924997438
C3M      , LIR-CMOP, LIRCMOP13,    1,  0.1616145651203877   ,     0.0, 4.1965466391210295  ,    0.0,     100.0, 152.75583837501472
C3M      , LIR-CMOP, LIRCMOP14,    1,  0.11589532806181727  ,     0.0, 4.887308904822962   ,    0.0,     100.0, 177.808535249962
C3M      , LIR-CMOP, LIRCMOP2 ,    1,  0.1983372286014573   ,     0.0, 0.9736049382885884  ,    0.0,     100.0,  48.75374174996978
C3M      , LIR-CMOP, LIRCMOP3 ,    1,  0.35047216045637997  ,     0.0, 0.3647747068004174  ,    0.0,     100.0,  72.72893899999326
C3M      , LIR-CMOP, LIRCMOP4 ,    1,  0.10763267556199504  ,     0.0, 0.8669866325492824  ,    0.0,     100.0,  65.45234691700898
C3M      , LIR-CMOP, LIRCMOP5 ,    1,  0.17710051607760566  ,     0.0, 1.0562933897173812  ,    0.0,     100.0, 165.3445318339509
C3M      , LIR-CMOP, LIRCMOP6 ,    1,  0.013724756715710773 ,     0.0, 0.9218577715633235  ,    0.0,     100.0, 152.80398537503788
C3M      , LIR-CMOP, LIRCMOP7 ,    1,  0.008512952285422475 ,     0.0, 2.4181551991450294  ,    0.0,     100.0, 184.10003716603387
C3M      , LIR-CMOP, LIRCMOP8 ,    1,  0.008125723800698766 ,     0.0, 2.4181928881905494  ,    0.0,     100.0, 174.7763297079946
C3M      , LIR-CMOP, LIRCMOP9 ,    1,  0.4842176972833829   ,     0.0, 2.209528678641684   ,    0.0,     100.0, 153.65791766700568
APSEA    , C-DTLZs , C1DTLZ1  ,    1,  0.024828266978009706 ,     0.0, 0.23563776969180544 ,    0.0,     100.0,  55.74508475000039
APSEA    , C-DTLZs , C1DTLZ3  ,    1, 11.6012499993908      ,     0.0, 0.0                 ,    0.0,     100.0,  67.52906412497396
APSEA    , C-DTLZs , C2DTLZ2  ,    1,  0.050384462713163713 ,     0.0, 1.0417736643555133  ,    0.0,     100.0,  89.8811720419908
APSEA    , C-DTLZs , C3DTLZ4  ,    1,  0.09829358132367523  ,     0.0, 9.873645906714522   ,    0.0,     100.0,  62.520382084010635
APSEA    , DC-DTLZs, DC1DTLZ1 ,    1, 13.147655659403217    ,     0.0, 0.0                 ,    0.0,      91.0,  52.164599833020475
APSEA    , DC-DTLZs, DC1DTLZ3 ,    1, 21.2190080806944      ,     0.0, 0.0                 ,    0.0,     100.0,  57.27174716698937
APSEA    , DC-DTLZs, DC2DTLZ1 ,    1,                       ,        , 0.0                 ,    0.0,       0.0,  56.522002874989994
APSEA    , DC-DTLZs, DC2DTLZ3 ,    1,                       ,        , 0.0                 ,    0.0,       0.0,  56.931662041984964
APSEA    , DC-DTLZs, DC3DTLZ1 ,    1, 18.76270358053537     ,     0.0, 0.0                 ,    0.0,     100.0,  38.219905374979135
APSEA    , DC-DTLZs, DC3DTLZ3 ,    1, 54.46960421654308     ,     0.0, 0.0                 ,    0.0,     100.0,  38.466341291961726
APSEA    , DAS-CMOP, DASCMOP1 ,    1,  0.3504834387875425   ,     0.0, 0.2962797454657843  ,    0.0,     100.0,  64.5486946250312
APSEA    , DAS-CMOP, DASCMOP2 ,    1,  0.31480370954899384  ,     0.0, 0.7227172471004835  ,    0.0,     100.0,  61.6624556669849
APSEA    , DAS-CMOP, DASCMOP3 ,    1,  0.28534113386944715  ,     0.0, 0.7091360823229784  ,    0.0,     100.0,  60.87705462501617
APSEA    , DAS-CMOP, DASCMOP4 ,    1,  0.8634964724524522   ,     0.0, 0.0                 ,    0.0,      88.0,  59.583153082989156
APSEA    , DAS-CMOP, DASCMOP5 ,    1,  1.2261332693951017   ,     0.0, 0.0                 ,    0.0,      98.0,  58.85522987501463
APSEA    , DAS-CMOP, DASCMOP6 ,    1,  0.6171512530710049   ,     0.0, 0.18701618659380428 ,    0.0,      79.0,  59.42101737501798
APSEA    , DAS-CMOP, DASCMOP7 ,    1,  2.943993568401965    ,     0.0, 0.0                 ,    0.0,      97.0,  54.01242012495641
APSEA    , DAS-CMOP, DASCMOP8 ,    1,  2.2993070356189853   ,     0.0, 0.0                 ,    0.0,     100.0,  52.99798425001791
APSEA    , DAS-CMOP, DASCMOP9 ,    1,  0.07402688119988807  ,     0.0, 1.0682061544985033  ,    0.0,     100.0,  75.81015325000044
APSEA    , LIR-CMOP, LIRCMOP1 ,    1,  0.334333085126311    ,     0.0, 0.4399984759039246  ,    0.0,     100.0,  25.13920312502887
APSEA    , LIR-CMOP, LIRCMOP10,    1,  0.3967773699728405   ,     0.0, 2.1540297260241186  ,    0.0,     100.0,  54.55432741699042
APSEA    , LIR-CMOP, LIRCMOP11,    1,  0.5937393473206306   ,     0.0, 1.8102089689696108  ,    0.0,     100.0,  38.32616920903092
APSEA    , LIR-CMOP, LIRCMOP12,    1,  0.2502895287491811   ,     0.0, 4.145418696529054   ,    0.0,     100.0,  35.179156541998964
APSEA    , LIR-CMOP, LIRCMOP13,    1,  1.3230193948362992   ,     0.0, 0.018115302685929074,    0.0,     100.0,  77.71408212499227
APSEA    , LIR-CMOP, LIRCMOP14,    1,  1.2796502584561111   ,     0.0, 0.03940369323099073 ,    0.0,     100.0,  77.59212833305355
APSEA    , LIR-CMOP, LIRCMOP2 ,    1,  0.22556262215077347  ,     0.0, 0.8388481541162027  ,    0.0,     100.0,  24.21390050003538
APSEA    , LIR-CMOP, LIRCMOP3 ,    1,  0.34942127567595305  ,     0.0, 0.34434371863144136 ,    0.0,     100.0,  26.212907875014935
APSEA    , LIR-CMOP, LIRCMOP4 ,    1,  0.3309260391860688   ,     0.0, 0.5904928766736949  ,    0.0,     100.0,  25.87130108301062
APSEA    , LIR-CMOP, LIRCMOP5 ,    1,  1.1798114325492766   ,     0.0, 0.0                 ,    0.0,     100.0,  57.97873375000199
APSEA    , LIR-CMOP, LIRCMOP6 ,    1,  1.347181794580248    ,     0.0, 0.0                 ,    0.0,     100.0,  59.60200325003825
APSEA    , LIR-CMOP, LIRCMOP7 ,    1,  0.12875054618031048  ,     0.0, 2.0264035536594873  ,    0.0,     100.0,  55.71630612498848
APSEA    , LIR-CMOP, LIRCMOP8 ,    1,  0.12084913382850321  ,     0.0, 2.0398288831794362  ,    0.0,     100.0,  58.62670079199597
APSEA    , LIR-CMOP, LIRCMOP9 ,    1,  0.4055885459850682   ,     0.0, 2.6642965921266857  ,    0.0,     100.0,  42.45839041704312
