Algorithm,Problem,Runs,Feasible_Ratio,Mean_Feasible_ND,IGD_Mean,IGD_Std,HV_Mean,HV_Std,Time_Mean_Sec
C3M,C1DTLZ1,1,100.00%,100.00 ± nan,0.021601374780405573,,0.24484205478454357,,46.336307874997146
C3M,C1DTLZ3,1,100.00%,99.00 ± nan,8.112574144189082,,0.0,,132.4870811669971
C3M,C2DTLZ2,1,100.00%,100.00 ± nan,0.04970529554200768,,1.0510191533764917,,76.19233737501781
C3M,C3DTLZ4,1,100.00%,100.00 ± nan,0.1068982678986863,,9.812720666035183,,164.6535029580118
C3M,DASCMOP1,1,100.00%,100.00 ± nan,0.005231690836643631,,0.7602983391252399,,526.7071453339886
C3M,DASCMOP2,1,100.00%,100.00 ± nan,0.004626098584891644,,1.0946922039573457,,502.4121692919871
C3M,DASCMOP3,1,100.00%,100.00 ± nan,0.0021711405291427073,,1.0011019683733546,,482.7460059580044
C3M,DASCMOP4,1,100.00%,21.00 ± nan,3.477391438636164,,0.0,,550.9315107080038
C3M,DASCMOP5,1,100.00%,100.00 ± nan,0.0073012676359787655,,1.0877854935004097,,586.519243207993
C3M,DASCMOP6,1,100.00%,55.00 ± nan,0.10569099051145943,,0.8133895414099602,,555.4923652500147
C3M,DASCMOP7,1,100.00%,100.00 ± nan,0.06829633063067941,,1.3643053413356918,,376.7927172079799
C3M,DASCMOP8,1,100.00%,100.00 ± nan,0.06564000850904048,,1.048652629310917,,363.6658339169808
C3M,DASCMOP9,1,100.00%,100.00 ± nan,0.05976803693657353,,1.0823919570534764,,335.4706847089692
C3M,DC1DTLZ1,1,100.00%,100.00 ± nan,6.5435719524901845,,0.0,,109.53734824998537
C3M,DC1DTLZ3,1,100.00%,100.00 ± nan,0.2302684087580859,,0.931863482566182,,117.26688150002155
C3M,DC2DTLZ1,1,100.00%,100.00 ± nan,0.027467601250470753,,0.2437647301524232,,64.36258158402052
C3M,DC2DTLZ3,1,100.00%,100.00 ± nan,0.1613476936235524,,0.8434846355963292,,46.8983187500271
C3M,DC3DTLZ1,1,100.00%,100.00 ± nan,0.2175961443044414,,0.11921308514835112,,109.75053729204228
C3M,DC3DTLZ3,1,100.00%,100.00 ± nan,0.11782958244274075,,1.0020047541728225,,112.12736600002972
C3M,LIRCMOP1,1,100.00%,100.00 ± nan,0.23246183680160792,,0.488178963316175,,49.00539662496885
C3M,LIRCMOP10,1,100.00%,100.00 ± nan,0.014111299188094456,,2.914709775714701,,153.92288666701643
C3M,LIRCMOP11,1,100.00%,100.00 ± nan,0.004856105737310448,,3.892330975559369,,126.39032641699305
C3M,LIRCMOP12,1,100.00%,100.00 ± nan,0.16741648412057897,,4.267931977491178,,129.96636924997438
C3M,LIRCMOP13,1,100.00%,100.00 ± nan,0.1616145651203877,,4.1965466391210295,,152.75583837501472
C3M,LIRCMOP14,1,100.00%,100.00 ± nan,0.11589532806181727,,4.887308904822962,,177.808535249962
C3M,LIRCMOP2,1,100.00%,100.00 ± nan,0.1983372286014573,,0.9736049382885884,,48.75374174996978
C3M,LIRCMOP3,1,100.00%,100.00 ± nan,0.35047216045637997,,0.3647747068004174,,72.72893899999326
C3M,LIRCMOP4,1,100.00%,100.00 ± nan,0.10763267556199504,,0.8669866325492824,,65.45234691700898
C3M,LIRCMOP5,1,100.00%,100.00 ± nan,0.17710051607760566,,1.0562933897173812,,165.3445318339509
C3M,LIRCMOP6,1,100.00%,100.00 ± nan,0.013724756715710773,,0.9218577715633235,,152.80398537503788
C3M,LIRCMOP7,1,100.00%,100.00 ± nan,0.008512952285422475,,2.4181551991450294,,184.10003716603387
C3M,LIRCMOP8,1,100.00%,100.00 ± nan,0.008125723800698766,,2.4181928881905494,,174.7763297079946
C3M,LIRCMOP9,1,100.00%,100.00 ± nan,0.4842176972833829,,2.209528678641684,,153.65791766700568
