Category,Problem,Algorithm,Runs,IGD_Mean,IGD_Std,HV_Mean,HV_Std,Feasible_Mean,Time_Mean_s
C-DTLZs,C1DTLZ1,DSOCOL,5,0.02191695454650455,0.001251931447937823,0.2433636198405537,0.0006408721888287154,94.6,134.33694933340013
C-DTLZs,C1DTLZ1,DSOCOL1,5,0.021613774135527362,0.0003995008600221251,0.24473896573069656,0.0016719262511512133,95.0,197.0459958831998
C-DTLZs,C1DTLZ1,DSOCOL3,5,0.021535539719808604,0.0004964054745454587,0.24468179306226528,0.0010835515225278772,96.6,134.4501776834004
C-DTLZs,C1DTLZ1,DSOCOL4,5,0.021922753971319413,0.0003360817213657098,0.24367893144855995,0.0011108749781744934,93.6,133.59024367500024
DC-DTLZs,DC1DTLZ1,DSOCOL,5,0.07798599248518798,0.009299278517386812,0.20178437958584614,0.003686048143464837,91.6,119.07855810819983
DC-DTLZs,DC1DTLZ1,DSOCOL1,5,0.06867904698054952,0.008584065723558859,0.20571685529216488,0.00438155760131667,90.2,191.71782804159884
DC-DTLZs,DC1DTLZ1,DSOCOL3,5,0.09706747525292311,0.05478884231858404,0.1876456972496085,0.03550250107289277,89.4,118.16339161639989
DC-DTLZs,DC1DTLZ1,DSOCOL4,5,0.0847116803595906,0.0019416979540557498,0.1988273551861906,0.0008928202580644615,97.6,119.34324733319954
DAS-CMOP,DASCMOP1,DSOCOL,5,0.007101947938270303,0.0008054813286997799,0.757600243869254,0.0002383708695585014,95.6,129.2014375833998
DAS-CMOP,DASCMOP1,DSOCOL1,5,0.005022486629073687,0.0002709340218569655,0.7580771301568462,0.0005616252257548648,93.4,177.03923005839897
DAS-CMOP,DASCMOP1,DSOCOL3,5,0.007301414140700156,0.0005365058904111274,0.7572793014224932,0.0004477386795748969,88.0,125.93271602499881
DAS-CMOP,DASCMOP1,DSOCOL4,5,0.0073823461605777825,0.00012659193220987617,0.7579533522118757,0.0004382037477157413,92.8,126.79014656659929
DAS-CMOP,DASCMOP7,DSOCOL,5,2.435376606072775,0.9171738918160207,0.0,0.0,85.2,118.67634327519973
DAS-CMOP,DASCMOP7,DSOCOL1,5,3.1074206271243865,2.020733251137932,0.0,0.0,80.0,174.6788491415995
DAS-CMOP,DASCMOP7,DSOCOL3,5,2.284843957021483,0.7053069085166987,0.0,0.0,87.8,118.08210985019977
DAS-CMOP,DASCMOP7,DSOCOL4,5,2.389157585897806,0.849883332559024,0.0,0.0,81.2,119.65357083299969
LIR-CMOP,LIRCMOP1,DSOCOL,5,0.12674666600105983,0.03208320423439442,0.645846762850241,0.044119527827894016,13.2,56.43916030019991
LIR-CMOP,LIRCMOP1,DSOCOL1,5,0.3197717529480936,0.0458444216012498,0.3240973484206345,0.16797289405957783,9.0,101.49011685020159
LIR-CMOP,LIRCMOP1,DSOCOL3,5,0.12066641840419155,0.034251050269558304,0.396485927440884,0.3238914176470268,10.6,55.39776577500088
LIR-CMOP,LIRCMOP1,DSOCOL4,5,0.1702334981348042,0.10480789494261598,0.5070223608217096,0.2631835938537275,11.4,55.61874564180107
LIR-CMOP,LIRCMOP13,DSOCOL,5,1.3270318444494027,0.0026432628138916294,0.0076312983832780385,0.003922943553968869,100.0,141.07142028339985
LIR-CMOP,LIRCMOP13,DSOCOL1,5,1.325630293242561,0.003855513900132954,0.01404904986054649,0.003404859018715087,100.0,169.3625675754003
LIR-CMOP,LIRCMOP13,DSOCOL3,5,1.3253752225899154,0.0027175483564191656,0.008898085952837951,0.004998768409728497,100.0,136.09057376679993
LIR-CMOP,LIRCMOP13,DSOCOL4,5,1.3264216339442858,0.0013990245055694474,0.011846095597909993,0.003236491235942286,100.0,135.336428616599
