algorithm,problem,seed,eval_count,elapsed_time,n_feasible_nd,igd,hv
DSOCOL1,LIRCMOP1,42,100120,99.82309466700099,1,0.37445879883260064,0.3494717341157605
DSOCOL1,LIRCMOP1,142,100120,108.49814875000084,8,0.3531393365066262,0.3679522844463696
DSOCOL1,LIRCMOP1,242,100120,100.20506550000209,0,,0.0
DSOCOL1,LIRCMOP1,342,100120,98.73730733400225,16,0.29033838328141104,0.42928946369144416
DSOCOL1,LIRCMOP1,442,100120,100.1869680000018,20,0.26115049317173655,0.4737732598495981
DSOCOL1,LIRCMOP13,42,100120,163.27455770899905,100,1.3223831457233601,0.017601747852835196
DSOCOL1,LIRCMOP13,142,100120,186.73038233400075,100,1.3329400224442196,0.012186325875465583
DSOCOL1,LIRCMOP13,242,100120,158.32145470899923,100,1.3251654743880044,0.0178603168629946
DSOCOL1,LIRCMOP13,342,100120,184.15026695900087,100,1.3224784846489193,0.00882695828260139
DSOCOL1,LIRCMOP13,442,100120,154.33617616600168,100,1.3251843390083016,0.013769900428835673
DSOCOL1,DASCMOP1,42,100120,177.6090169579984,93,0.005014948843530359,0.7581804666483775
DSOCOL1,DASCMOP1,142,100120,174.35865591699985,90,0.004575652668380622,0.7585634829580153
DSOCOL1,DASCMOP1,242,100120,175.9829977499976,97,0.004973344719059614,0.7583492388742442
DSOCOL1,DASCMOP1,342,100120,179.53997241699835,97,0.005412321127412495,0.7569812101242552
DSOCOL1,DASCMOP1,442,100120,177.70550725000066,90,0.005136165786985343,0.7583112521793383
DSOCOL1,DASCMOP7,42,100120,174.37089037499754,92,2.0232192845206796,0.0
DSOCOL1,DASCMOP7,142,100120,170.94940758300072,87,3.038767959852637,0.0
DSOCOL1,DASCMOP7,242,100120,179.41349504199752,91,1.8353521037994294,0.0
DSOCOL1,DASCMOP7,342,100120,174.2696297500006,43,7.028970822423639,0.0
DSOCOL1,DASCMOP7,442,100120,174.39082295800108,87,1.6107929650255464,0.0
DSOCOL1,C1DTLZ1,42,100120,200.83871370799898,94,0.022001211060413296,0.2448149909596252
DSOCOL1,C1DTLZ1,142,100120,200.19866491599896,100,0.021340125346186838,0.24643301208559654
DSOCOL1,C1DTLZ1,242,100120,196.35208304200205,93,0.02136490874396376,0.24524402089761801
DSOCOL1,C1DTLZ1,342,100120,196.24319162499887,95,0.021180335349148007,0.245633388141546
DSOCOL1,C1DTLZ1,442,100120,191.5973261250001,93,0.02218229017792491,0.24156941656909717
DSOCOL1,DC1DTLZ1,42,100120,180.5499999169988,95,0.08574991056032487,0.1970459874243684
DSOCOL1,DC1DTLZ1,142,100120,193.10864237499845,84,0.0642859410484331,0.2070531146993945
DSOCOL1,DC1DTLZ1,242,100120,211.992424707998,85,0.06422606850939157,0.20812605212944302
DSOCOL1,DC1DTLZ1,342,100120,179.544282750001,87,0.06599225290402302,0.20744246305947614
DSOCOL1,DC1DTLZ1,442,100120,193.39379045799797,100,0.06314106188057504,0.2089166591481424
