Algorithm,Problem,Runs,Feasible_Ratio,Mean_Feasible_ND,IGD_Mean,IGD_Std,HV_Mean,HV_Std,Time_Mean_Sec
DSOCOL1,C1DTLZ1,5,100.00%,95.00 ± 2.92,0.021613774135527362,0.00044665554003954993,0.2447389657306966,0.0018692703754702496,197.0459958831998
DSOCOL1,DASCMOP1,5,100.00%,93.40 ± 3.51,0.005022486629073687,0.0003029134451447943,0.7580771301568461,0.0006279160913332717,177.03923005839897
DSOCOL1,DASCMOP7,5,100.00%,80.00 ± 20.81,3.107420627124386,2.2592484569692854,0.0,0.0,174.6788491415995
DSOCOL1,DC1DTLZ1,5,100.00%,90.20 ± 6.98,0.06867904698054952,0.009597277240601762,0.20571685529216488,0.004898730321937499,191.71782804159884
DSOCOL1,LIRCMOP1,5,80.00%,9.00 ± 8.89,0.3197717529480936,0.05293657830464854,0.3240973484206345,0.1877994047472933,101.49011685020159
DSOCOL1,LIRCMOP13,5,100.00%,100.00 ± 0.00,1.325630293242561,0.00431059558444631,0.01404904986054649,0.0038067481098250813,169.3625675754003
