algorithm,problem,seed,eval_count,elapsed_time,n_feasible_nd,igd,hv
APSEA,LIRCMOP1,42,100086,25.175401374999637,100,0.33138923543602167,0.44305373045519875
APSEA,LIRCMOP1,142,100035,26.007595000000947,100,0.3210348344612505,0.43225109962377795
APSEA,LIRCMOP1,242,100079,27.299280249999356,100,0.3625057772566009,0.4741891350902457
APSEA,LIRCMOP1,342,100084,27.881206291000126,100,0.3589192240852186,0.36354931462530854
APSEA,LIRCMOP1,442,100019,25.401736290999906,100,0.3245244627528684,0.4297064115020711
APSEA,LIRCMOP13,42,100004,78.3859875420003,100,1.3240502947876882,0.007710187746759784
APSEA,LIRCMOP13,142,100021,73.48406479200094,100,1.317770468903166,0.011656330228497226
APSEA,LIRCMOP13,242,100077,76.51686750000044,100,1.3227143944634863,0.008919201532169392
APSEA,LIRCMOP13,342,100030,76.90271787500023,100,1.3181832026541684,0.007372403785092975
APSEA,LIRCMOP13,442,100098,82.83100274999924,100,1.330238085304265,0.008163217244370807
APSEA,DASCMOP1,42,100026,59.471089083999686,100,0.3504959480945921,0.2963484325486372
APSEA,DASCMOP1,142,100066,58.03534625000066,100,0.35052445485911576,0.29616286940339664
APSEA,DASCMOP1,242,100085,57.45926029200018,100,0.40008135282960844,0.2674500828733959
APSEA,DASCMOP1,342,100063,58.19186670899944,100,0.3504619179067636,0.2964122434395133
APSEA,DASCMOP1,442,100074,58.846693040999526,100,0.31923776857357655,0.3288830986026287
APSEA,DASCMOP7,42,100085,48.030941499999244,100,2.849974133887543,0.0
APSEA,DASCMOP7,142,100071,50.46113229199909,98,2.30704423960171,0.0
APSEA,DASCMOP7,242,100025,52.754365541999505,100,1.5751044765483464,0.0
APSEA,DASCMOP7,342,100085,53.994575958000496,100,1.3399194439011815,0.001823365519103563
APSEA,DASCMOP7,442,100043,49.81807054099954,100,2.9002169091018266,0.0
APSEA,C1DTLZ1,42,100072,53.8269048330003,100,0.02599777297604251,0.23476791233687921
APSEA,C1DTLZ1,142,100064,51.49556649999977,100,0.023544081556925674,0.23694993374105644
APSEA,C1DTLZ1,242,100045,53.14204391699968,100,0.023060935238462886,0.238707878525561
APSEA,C1DTLZ1,342,100025,54.94909391699912,100,0.02075019992777778,0.2451701877648372
APSEA,C1DTLZ1,442,100030,53.493543042000965,100,0.021910373871775288,0.2416205926469116
APSEA,DC1DTLZ1,42,100022,60.307919458999095,100,0.07219239379165529,0.20238106103430242
APSEA,DC1DTLZ1,142,100020,61.72370920799949,100,0.06430051877931924,0.20627725393807306
APSEA,DC1DTLZ1,242,100025,60.22665437499927,100,0.06468402911286085,0.2075700913990027
APSEA,DC1DTLZ1,342,100013,60.14302204199885,100,0.07252518266029688,0.19996434657835505
APSEA,DC1DTLZ1,442,100015,60.28509516599843,100,0.060922551109983646,0.2092056556408232
