Algorithm,Problem,Runs,Feasible_Ratio,Mean_Feasible_ND,IGD_Mean,IGD_Std,HV_Mean,HV_Std,Time_Mean_Sec
APSEA,C1DTLZ1,5,100.00%,100.00 ± 0.00,0.023052672714196826,0.001969860023576596,0.23944330100304909,0.004066780562929929,53.381430441799964
APSEA,DASCMOP1,5,100.00%,100.00 ± 0.00,0.3541602884527313,0.029020041217627884,0.29705134537351435,0.021743890995582237,58.400851075199895
APSEA,DASCMOP7,5,100.00%,99.60 ± 0.89,2.1944518406081217,0.7166428035627069,0.0003646731038207126,0.0008154338497089516,51.01181716659958
APSEA,DC1DTLZ1,5,100.00%,100.00 ± 0.00,0.06692493509082317,0.0051731694355579136,0.2050796817181113,0.0038114691261607555,60.537280049999026
APSEA,LIRCMOP1,5,100.00%,100.00 ± 0.00,0.339674706798392,0.019603781490768447,0.4285499382593204,0.04041476640428154,26.353043841399995
APSEA,LIRCMOP13,5,100.00%,100.00 ± 0.00,1.3225912892225549,0.00508155680379828,0.008764268107378037,0.0017173862056001628,77.62412809180023
w
